6UST6 [6, U, S, T, 6] ^
VTS56 [V, T, S, 5, 6] ^
4554T [4, 5, 5, 4, T] ^
H4I1S [H, 4, I, 1, S] ^
4JDUT [4, J, D, U, T] ^
DBWHV [D, B, W, H, V] ^
54T1S [5, 4, T, 1, S] ^
WSES1 [W, S, E, S, 1] ^
11W1B [1, 1, W, 1, B] ^
V5THD [V, 5, T, H, D] ^
4WTEH [4, W, T, E, H] ^
JT5WB [J, T, 5, W, B] ^
46BH5 [4, 6, B, H, 5] ^
BHDEW [B, H, D, E, W] ^
1DVVE [1, D, V, V, E] ^
UTI5S [U, T, I, 5, S] ^
615DE [6, 1, 5, D, E] ^
T4J4U [T, 4, J, 4, U] ^
1SHVI [1, S, H, V, I] ^
41HE6 [4, 1, H, E, 6] ^
WTBVJ [W, T, B, V, J] ^
5JT4B [5, J, T, 4, B] ^
E5W5U [E, 5, W, 5, U] ^
4J5EJ [4, J, 5, E, J] ^
J4WVW [J, 4, W, V, W] ^
64661 [6, 4, 6, 6, 1] ^
I6DT6 [I, 6, D, T, 6] ^
5EDJS [5, E, D, J, S] ^
DDJEE [D, D, J, E, E] ^
1DDHW [1, D, D, H, W] ^
4BHWJ [4, B, H, W, J] ^
B16B6 [B, 1, 6, B, 6] ^
4UDIU [4, U, D, I, U] ^
1I14D [1, I, 1, 4, D] ^
6W6UI [6, W, 6, U, I] ^
DTWI4 [D, T, W, I, 4] ^
56S5E [5, 6, S, 5, E] ^
6V1IH [6, V, 1, I, H] ^
1HJ1S [1, H, J, 1, S] ^
6V4EU [6, V, 4, E, U] ^
EWDJD [E, W, D, J, D] ^
1BDIT [1, B, D, I, T] ^
UJH1T [U, J, H, 1, T] ^
44SUS [4, 4, S, U, S] ^
5TJT6 [5, T, J, T, 6] ^
54TBU [5, 4, T, B, U] ^
TIBSI [T, I, B, S, I] ^
41DU6 [4, 1, D, U, 6] ^
V1HDS [V, 1, H, D, S] ^
661VJ [6, 6, 1, V, J] ^
6JB1T [6, J, B, 1, T] ^
BSSS4 [B, S, S, S, 4] ^
54J4I [5, 4, J, 4, I] ^
UEHHE [U, E, H, H, E] ^
5TWWH [5, T, W, W, H] ^
16VV4 [1, 6, V, V, 4] ^
DDE5S [D, D, E, 5, S] ^
6IVHS [6, I, V, H, S] ^
5541T [5, 5, 4, 1, T] ^
H66EE [H, 6, 6, E, E] ^
1JT4V [1, J, T, 4, V] ^
HSS6B [H, S, S, 6, B] ^
414D4 [4, 1, 4, D, 4] ^
VVJDT [V, V, J, D, T] ^
1HIW6 [1, H, I, W, 6] ^
VJS6B [V, J, S, 6, B] ^
516VH [5, 1, 6, V, H] ^
SE6JB [S, E, 6, J, B] ^
5WHBU [5, W, H, B, U] ^
VEDBW [V, E, D, B, W] ^
615I5 [6, 1, 5, I, 5] ^
6I6U4 [6, I, 6, U, 4] ^
4H45I [4, H, 4, 5, I] ^
DTUE1 [D, T, U, E, 1] ^
56VVB [5, 6, V, V, B] ^
6D1VW [6, D, 1, V, W] ^
DTSD1 [D, T, S, D, 1] ^
6WSJJ [6, W, S, J, J] ^
ISJSB [I, S, J, S, B] ^
1V5BE [1, V, 5, B, E] ^
DJTUT [D, J, T, U, T] ^
1H4VV [1, H, 4, V, V] ^
UHJEW [U, H, J, E, W] ^
446DT [4, 4, 6, D, T] ^
BTIW6 [B, T, I, W, 6] ^
4U5SE [4, U, 5, S, E] ^
U5TVU [U, 5, T, V, U] ^
4U1TT [4, U, 1, T, T] ^
HV6V6 [H, V, 6, V, 6] ^
4EJI4 [4, E, J, I, 4] ^
44DEW [4, 4, D, E, W] ^
SITI6 [S, I, T, I, 6] ^
4BVVV [4, B, V, V, V] ^
B4VS5 [B, 4, V, S, 5] ^
6VVV6 [6, V, V, V, 6] ^
4UE1E [4, U, E, 1, E] ^
VUSVB [V, U, S, V, B] ^
1EIVD [1, E, I, V, D] ^
JE1E5 [J, E, 1, E, 5] ^
5B4EW [5, B, 4, E, W] ^
S1UUT [S, 1, U, U, T] ^
55S5V [5, 5, S, 5, V] ^
WTHJT [W, T, H, J, T] ^
14HWH [1, 4, H, W, H] ^
6S1WH [6, S, 1, W, H] ^
HEUVB [H, E, U, V, B] ^
5WT45 [5, W, T, 4, 5] ^
BI5U5 [B, I, 5, U, 5] ^
1B61B [1, B, 6, 1, B] ^
VJVBB [V, J, V, B, B] ^
1VTWH [1, V, T, W, H] ^
I54D4 [I, 5, 4, D, 4] ^
4TD5B [4, T, D, 5, B] ^
4E6B5 [4, E, 6, B, 5] ^
1WEUS [1, W, E, U, S] ^
44UJ4 [4, 4, U, J, 4] ^
S5BTI [S, 5, B, T, I] ^
4WH5E [4, W, H, 5, E] ^
I4WJ4 [I, 4, W, J, 4] ^
4ISDI [4, I, S, D, I] ^
DT4JE [D, T, 4, J, E] ^
4W6DI [4, W, 6, D, I] ^
H1UVH [H, 1, U, V, H] ^
6JT66 [6, J, T, 6, 6] ^
IDBSW [I, D, B, S, W] ^
5WBW5 [5, W, B, W, 5] ^
H1DIS [H, 1, D, I, S] ^
1U4TH [1, U, 4, T, H] ^
DTHUS [D, T, H, U, S] ^
5WEIS [5, W, E, I, S] ^
USETB [U, S, E, T, B] ^
5UDTS [5, U, D, T, S] ^
6UIEJ [6, U, I, E, J] ^
IBD65 [I, B, D, 6, 5] ^
6BEJD [6, B, E, J, D] ^
VUVSH [V, U, V, S, H] ^
5WDUV [5, W, D, U, V] ^
U5HIU [U, 5, H, I, U] ^
1EWI1 [1, E, W, I, 1] ^
TSDTH [T, S, D, T, H] ^
1SH6U [1, S, H, 6, U] ^
EUD44 [E, U, D, 4, 4] ^
1WIEB [1, W, I, E, B] ^
BJTH1 [B, J, T, H, 1] ^
1WB61 [1, W, B, 6, 1] ^
VH56T [V, H, 5, 6, T] ^
4UDED [4, U, D, E, D] ^
IU5H6 [I, U, 5, H, 6] ^
4UJ1W [4, U, J, 1, W] ^
61WUB [6, 1, W, U, B] ^
5WIBD [5, W, I, B, D] ^
EWW1D [E, W, W, 1, D] ^
6WWVI [6, W, W, V, I] ^
EIE15 [E, I, E, 1, 5] ^
5444S [5, 4, 4, 4, S] ^
IS5VW [I, S, 5, V, W] ^
6W6WW [6, W, 6, W, W] ^
DUT55 [D, U, T, 5, 5] ^
4W4J4 [4, W, 4, J, 4] ^
STI1V [S, T, I, 1, V] ^
1JTWS [1, J, T, W, S] ^
UUIS5 [U, U, I, S, 5] ^
6JWHH [6, J, W, H, H] ^
DJUIV [D, J, U, I, V] ^
6WIHD [6, W, I, H, D] ^
BIDJ1 [B, I, D, J, 1] ^
55SHB [5, 5, S, H, B] ^
5SDUE [5, S, D, U, E] ^
JT16E [J, T, 1, 6, E] ^
4DH5W [4, D, H, 5, W] ^
6UEBS [6, U, E, B, S] ^
1V1DJ [1, V, 1, D, J] ^
6JBJ1 [6, J, B, J, 1] ^
V1WII [V, 1, W, I, I] ^
655BT [6, 5, 5, B, T] ^
I5WJJ [I, 5, W, J, J] ^
4WWWI [4, W, W, W, I] ^
56H4B [5, 6, H, 4, B] ^
D1HE5 [D, 1, H, E, 5] ^
6VT1J [6, V, T, 1, J] ^
4HVE5 [4, H, V, E, 5] ^
TWHHI [T, W, H, H, I] ^
4SUUI [4, S, U, U, I] ^
HEBVU [H, E, B, V, U] ^
6UVEI [6, U, V, E, I] ^
JSVHE [J, S, V, H, E] ^
6UVH4 [6, U, V, H, 4] ^
VE4IV [V, E, 4, I, V] ^
6BB55 [6, B, B, 5, 5] ^
BUUV5 [B, U, U, V, 5] ^
55EVD [5, 5, E, V, D] ^
J441T [J, 4, 4, 1, T] ^
5SEJH [5, S, E, J, H] ^
6BJW6 [6, B, J, W, 6] ^
BWW4H [B, W, W, 4, H] ^
414WW [4, 1, 4, W, W] ^
EHUDE [E, H, U, D, E] ^
6JIUJ [6, J, I, U, J] ^
H1V6U [H, 1, V, 6, U] ^
1TT5W [1, T, T, 5, W] ^
HIDD5 [H, I, D, D, 5] ^
1WV1D [1, W, V, 1, D] ^
